Company,Major index membership,Market capitalization,Income (ttm),Revenue (ttm),Book value per share (mrq),Cash per share (mrq),Dividend (annual),Dividend yield (annual),Full time employees,Stock has options trading on a market exchange,Stock available to sell short,Analysts' mean recommendation (1=Buy 5=Sell),Price-to-Earnings (ttm),Forward Price-to-Earnings (next fiscal year),Price-to-Earnings-to-Growth,Price-to-Sales (ttm),Price-to-Book (mrq),Price to cash per share (mrq),Price to Free Cash Flow (ttm),Quick Ratio (mrq),Current Ratio (mrq),Total Debt to Equity (mrq),Long Term Debt to Equity (mrq),Distance from 20-Day Simple Moving Average,Diluted EPS (ttm),EPS estimate for next year,EPS estimate for next quarter,EPS growth this year,EPS growth next year,Long term annual growth estimate (5 years),Annual EPS growth past 5 years,Annual sales growth past 5 years,Quarterly revenue growth (yoy),Quarterly earnings growth (yoy),Earnings date<br><br>BMO = Before Market Open<br>AMC = After Market Close,Distance from 50-Day Simple Moving Average,Insider ownership,Insider transactions (6-Month change in Insider Ownership),Institutional ownership,Institutional transactions (3-Month change in Institutional Ownership),Return on Assets (ttm),Return on Equity (ttm),Return on Investment (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Profit Margin (ttm),Dividend Payout Ratio (ttm),Distance from 200-Day Simple Moving Average,Shares outstanding,Shares float,Short interest share,Short interest ratio,Analysts' mean target price,52-Week trading range,Distance from 52-Week High,Distance from 52-Week Low,Relative Strength Index,Relative volume,Average volume (3 month),Volume,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date),Beta,Average True Range (14),"Volatility (Week, Month)",Previous close,Current stock price,Performance (today)
A,S&P 500,39.84B,1.26B,6.53B,17.13,3.97,0.84,0.64%,17400,Yes,Yes,-,31.62,24.44,2.11,6.10,7.65,33.00,48.94,1.50,2.00,0.57,0.53,8.25%,4.15,5.36,1.20,71.00%,9.65%,15.00%,22.90%,8.50%,5.40%,29.40%,Aug 16 AMC,7.87%,0.20%,-1.31%,94.50%,0.67%,12.00%,24.50%,14.70%,54.00%,22.50%,19.40%,18.90%,-4.26%,299.00M,297.96M,1.08%,1.83,144.56,112.52 - 179.57,-26.99%,16.52%,64.61,1.05,1.76M,"1,858,933",3.08%,12.00%,11.41%,-1.80%,-13.44%,-17.88%,1.05,3.65,2.78% 2.80%,127.71,131.11,2.66%
AAL,S&P 500,9.20B,-1922.00M,40.72B,-12.95,18.73,-,-,123400,Yes,Yes,3.00,-,7.16,-,0.23,-,0.73,-,0.70,0.80,-,-,-1.62%,-3.04,1.92,0.47,83.10%,299.00%,16.09%,-21.70%,-5.70%,79.50%,2405.30%,Jul 21 BMO,-7.11%,1.20%,0.00%,56.10%,0.05%,-2.80%,23.90%,-1.60%,57.70%,-2.20%,-4.70%,-,-20.06%,650.35M,641.53M,12.01%,2.17,16.93,11.93 - 22.35,-38.43%,15.34%,45.99,1.00,35.57M,"35,576,188",-2.27%,1.93%,-27.46%,-15.27%,-36.38%,-23.39%,1.56,0.75,4.29% 5.01%,13.97,13.76,-1.50%
AAP,S&P 500,11.50B,570.00M,11.04B,47.50,2.30,6.00,3.14%,41000,Yes,Yes,2.20,21.27,12.44,1.90,1.04,4.02,82.91,103.42,0.30,1.20,0.41,0.41,3.59%,8.98,15.36,3.79,33.70%,12.75%,11.20%,9.00%,2.80%,1.30%,-19.50%,May 23 AMC,3.48%,0.50%,0.00%,-,0.17%,4.80%,18.20%,15.60%,44.80%,7.10%,5.20%,49.70%,-10.36%,61.26M,60.34M,7.00%,4.95,222.06,164.00 - 244.55,-21.89%,16.48%,56.43,0.91,853.21K,"773,695",0.63%,6.87%,-15.05%,-15.14%,-10.00%,-20.36%,1.23,5.43,2.77% 2.70%,185.91,191.03,2.75%
AAPL,DJIA S&P500,2567.56B,101.94B,386.02B,4.14,3.16,0.92,0.58%,154000,Yes,Yes,1.90,25.58,24.16,2.58,6.65,38.01,49.84,28.20,0.90,0.90,1.78,1.53,6.70%,6.15,6.51,1.16,71.40%,6.27%,9.91%,22.00%,11.10%,8.60%,9.20%,Jul 28 AMC,9.48%,0.07%,-1.61%,59.70%,0.08%,28.90%,152.90%,50.00%,43.30%,30.90%,26.40%,14.20%,-0.89%,16.28B,16.17B,0.65%,1.15,183.29,129.04 - 182.94,-13.99%,21.94%,64.98,0.83,91.56M,"75,662,330",1.29%,14.49%,0.50%,-1.47%,8.53%,-11.39%,1.21,3.78,2.14% 2.53%,156.79,157.35,0.36%
ABBV,S&P 500,263.34B,12.40B,56.73B,9.19,4.31,5.64,3.77%,50000,Yes,Yes,2.20,21.48,12.51,58.53,4.64,16.29,34.78,20.93,0.70,0.80,4.51,3.90,-1.15%,6.97,11.97,3.33,137.00%,-14.12%,0.37%,12.20%,17.00%,4.10%,26.20%,Jul 29 BMO,0.41%,0.10%,-31.72%,71.50%,0.83%,8.50%,85.80%,17.90%,69.80%,32.70%,21.90%,75.90%,6.57%,1.77B,1.77B,0.79%,2.17,162.42,105.56 - 175.91,-14.87%,41.86%,48.85,1.01,6.47M,"6,558,460",1.35%,-1.80%,-4.99%,11.56%,26.32%,10.60%,0.72,3.31,2.12% 1.99%,151.15,149.75,-0.93%
ABC,S&P 500,30.41B,1.73B,229.67B,2.63,16.04,1.84,1.26%,38000,Yes,Yes,2.30,17.78,12.71,1.80,0.13,55.35,9.07,12.33,0.60,0.90,11.73,8.44,2.53%,8.19,11.45,2.57,144.40%,4.68%,9.87%,3.20%,7.80%,17.40%,23.10%,Aug 03 BMO,-0.11%,0.20%,-93.70%,67.80%,0.93%,3.00%,655.90%,24.30%,3.50%,1.10%,0.80%,21.70%,4.08%,209.24M,156.08M,2.59%,2.69,170.67,113.68 - 167.19,-12.93%,28.05%,55.35,0.43,1.50M,"638,421",2.41%,1.66%,-7.55%,11.51%,19.97%,9.54%,0.48,3.00,1.77% 1.95%,145.07,145.57,0.34%
ABMD,S&P 500,13.48B,136.50M,1.03B,33.02,16.44,-,-,2003,Yes,Yes,2.50,98.58,52.07,4.87,13.06,8.85,17.77,54.00,6.40,7.10,0.00,0.00,9.76%,2.96,5.61,1.06,-39.70%,23.07%,20.25%,20.60%,18.30%,11.90%,5.60%,Aug 04 BMO,13.99%,1.30%,-6.08%,94.40%,0.04%,8.70%,9.70%,5.80%,81.80%,13.60%,13.20%,0.00%,-3.04%,45.52M,44.71M,3.96%,5.60,325.83,219.85 - 379.30,-22.96%,32.91%,67.15,0.54,316.47K,"169,894",2.59%,17.31%,5.43%,-1.66%,-9.76%,-18.65%,1.34,9.24,2.70% 3.62%,285.18,292.20,2.46%
ABT,S&P 500,195.87B,8.55B,45.55B,20.09,4.60,1.88,1.70%,113000,Yes,Yes,2.00,22.93,23.35,2.08,4.30,5.49,24.01,35.97,1.40,1.90,0.48,0.48,1.47%,4.81,4.73,0.94,57.00%,-5.29%,11.00%,40.70%,15.60%,13.80%,37.80%,Jul 20 BMO,0.18%,0.50%,-1.05%,75.50%,0.07%,9.50%,20.30%,13.50%,58.10%,18.50%,15.50%,45.20%,-8.70%,1.76B,1.74B,0.82%,2.64,129.02,101.24 - 142.60,-22.61%,9.01%,53.57,0.88,5.38M,"4,735,299",-0.30%,3.17%,-5.45%,-8.09%,-8.43%,-21.59%,0.73,2.44,2.21% 1.93%,109.99,110.36,0.34%
ACN,S&P 500,192.09B,6.63B,59.59B,33.80,10.60,3.88,1.28%,624000,Yes,Yes,-,29.46,25.24,2.32,3.22,8.98,28.64,38.33,1.30,1.30,0.00,0.00,8.71%,10.31,12.03,2.57,16.00%,12.50%,12.67%,7.30%,7.70%,21.80%,16.10%,Jun 23 BMO,6.63%,0.10%,-5.35%,77.60%,0.13%,15.00%,32.40%,29.90%,32.30%,15.00%,11.10%,36.20%,-7.90%,632.75M,599.56M,0.64%,1.64,353.48,261.77 - 417.37,-27.24%,16.01%,65.67,0.79,2.32M,"1,837,607",5.44%,7.00%,0.19%,-7.95%,-3.99%,-26.74%,1.21,8.11,2.48% 2.33%,297.53,303.68,2.07%
ADBE,S&P 500,192.13B,4.89B,16.69B,29.63,11.13,-,-,25988,Yes,Yes,1.90,39.41,25.47,2.77,11.51,13.62,36.26,28.01,1.10,1.10,0.30,0.26,5.26%,10.24,15.84,3.33,-7.60%,17.18%,14.23%,34.00%,21.90%,14.40%,7.30%,Jun 16 AMC,2.84%,0.10%,-3.60%,85.00%,0.04%,18.50%,34.30%,26.00%,87.90%,36.20%,29.30%,0.00%,-18.13%,472.00M,463.03M,1.22%,1.84,466.24,338.00 - 699.54,-42.32%,19.38%,56.73,0.78,3.09M,"2,406,036",-1.32%,10.36%,1.41%,-19.43%,-35.02%,-28.84%,1.12,13.89,3.67% 3.18%,392.78,403.50,2.73%
